"id","data","valor"
1,"1994-01-01","201.59420"
2,"1994-02-01","200.59420"
3,"1994-03-01","199.59420"
4,"1994-04-01","198.59420"
5,"1994-05-01","197.59420"
6,"1994-06-01","196.59420"
7,"1994-07-01","195.59420"
8,"1994-08-01","194.59420"
9,"1994-09-01","193.59420"
10,"1994-10-01","192.59420"
11,"1994-11-01","191.59420"
12,"1994-12-01","190.59420"
13,"1995-01-01","189.59420"
14,"1995-02-01","188.59420"
15,"1995-03-01","187.59420"
16,"1995-04-01","186.59420"
17,"1995-05-01","185.59420"
18,"1995-06-01","184.59420"
19,"1995-07-01","183.59420"
20,"1995-08-01","182.59420"
21,"1995-09-01","181.59420"
22,"1995-10-01","180.59420"
23,"1995-11-01","179.59420"
24,"1995-12-01","178.59420"
25,"1996-01-01","177.59420"
26,"1996-02-01","176.59420"
27,"1996-03-01","175.59420"
28,"1996-04-01","174.59420"
29,"1996-05-01","173.59420"
30,"1996-06-01","172.59420"
31,"1996-07-01","171.59420"
32,"1996-08-01","170.59420"
33,"1996-09-01","169.59420"
34,"1996-10-01","168.59420"
35,"1996-11-01","167.59420"
36,"1996-12-01","166.59420"
37,"1997-01-01","165.59420"
38,"1997-02-01","164.59420"
39,"1997-03-01","163.59420"
40,"1997-04-01","162.59420"
41,"1997-05-01","161.59420"
42,"1997-06-01","160.59420"
43,"1997-07-01","159.59420"
44,"1997-08-01","158.59420"
45,"1997-09-01","157.59420"
46,"1997-10-01","156.59420"
47,"1997-11-01","155.59420"
48,"1997-12-01","154.59420"
49,"1998-01-01","153.59420"
50,"1998-02-01","152.59420"
51,"1998-03-01","151.59420"
52,"1998-04-01","150.59420"
53,"1998-05-01","149.59420"
54,"1998-06-01","148.59420"
55,"1998-07-01","147.59420"
56,"1998-08-01","146.59420"
57,"1998-09-01","145.59420"
58,"1998-10-01","144.59420"
59,"1998-11-01","143.59420"
60,"1998-12-01","142.59420"
61,"1999-01-01","141.59420"
62,"1999-02-01","140.59420"
63,"1999-03-01","139.59420"
64,"1999-04-01","138.59420"
65,"1999-05-01","137.59420"
66,"1999-06-01","136.59420"
67,"1999-07-01","135.59420"
68,"1999-08-01","134.59420"
69,"1999-09-01","133.59420"
70,"1999-10-01","132.59420"
71,"1999-11-01","131.59420"
72,"1999-12-01","130.59420"
73,"2000-01-01","129.59420"
74,"2000-02-01","128.59420"
75,"2000-03-01","127.59420"
76,"2000-04-01","126.59420"
77,"2000-05-01","125.59420"
78,"2000-06-01","124.59420"
79,"2000-07-01","123.59420"
80,"2000-08-01","122.59420"
81,"2000-09-01","121.59420"
82,"2000-10-01","120.59420"
83,"2000-11-01","119.59420"
84,"2000-12-01","118.59420"
85,"2001-01-01","117.59420"
86,"2001-02-01","116.59420"
87,"2001-03-01","115.59420"
88,"2001-04-01","114.59420"
89,"2001-05-01","113.59420"
90,"2001-06-01","112.59420"
91,"2001-07-01","111.59420"
92,"2001-08-01","110.59420"
93,"2001-09-01","110.09420"
